nom,description,categorie,URL,age,disponible,est_nouveau
Bouchons de rechange (Lot de 5 paires) pour arceau antibruit 3M™,Embouts de rechange en mousse pour arceau antibruit 3M™ E-A-RCaps™  faciles à retirer et à remplacer sur votre arceau.  Les bouchons de rechange sont un moyen facile d'améliorer l'hygiène et le confort de votre protection auditive à arceau lavable.  Mousse douce et lisse 3M™ E-A-RCaps™ pour un confort tout au long de la journée.,"produits sensoriels, ecouter, se stimuler se reguler",https://www.autismediffusion.com/products/bouchons-de-rechange-lot-de-5-paires-pour-arceau-antibruit-3m,,,
Twiddle SUPER Crawlerz,"Jouet fidget sensoriel en forme de mille-pattes, avec des filaments à manipuler. Le Twiddle Crawlerz est extensible et souple. Il peut être étiré, pressé, serré, tordu. La texture de ce fidget est faite de brins élastiques doux et lisses très agréables au toucher. Les couleurs sont vives et attrayantes. C'est avant tout un objet sensoriel déstressant. Manipuler le Twiddle SUPER Crawlerz procure une sensation d'apaisement. Il est plus facile de se concentrer en le triturant. À l'instar du 
<a href=""/products/tangle-texture-fidget"" style=""color:#2388ee; font-weight:bold; font-size:1.1em; text-decoration:none;"">Tangle , il permet également de travailler la dextérité et la motricité fine.  
 

 ATTENTION : ce jouet sensoriel n'est pas incassable. Pour une personne avec des besoins sensoriels forts, préférer des objets plus solides.","gestion du comportement, le materiel, produits sensoriels, se concentrer apprendre, toucher",https://www.autismediffusion.com/products/twiddle-crawlerz-fidget-1,,,
Time Timer® Montre adulte,"NOUVELLE VERSION !  
  Nouveau design et nouvelles fonctionnalités — voici les principales améliorations de votre montre  Time Timer®  :
  

 
   Nouveau design :  d'un vert séquoia discret, le design sportif de cette montre  Time Timer®  convient pour tous les domaines d'utilisation (étudiants, adultes, athlètes, enseignants) et pour tous les âges. 
  
   Bracelet interchangeable :  pour changer de couleur ou remplacer un bracelet usé, un bracelet vert de bleu peut désormais être 
    <a href=""/products/bracelet-time-timer-montre-adulte?_pos=3&_psq=bracelet&_ss=e&_v=1.0"" style=""color:#2388ee; font-weight:bold; font-size:1.1em;"">
      commandé séparément
     .
   
  
   Utilisation plus fluide :  téléchargez le guide d'utilisation sous l'onglet <em>COMPLÉMENT</em> pour découvrir les améliorations apportées aux fonctionnalités de la montre  Time Timer® . 
  
   Changement de la pile :  possibilité de remplacer la pile très facilement. 
 

 
  Cette montre favorise l’indépendance et la mobilité de tous ceux qui nécessitent une gestion du temps particulière :  Autisme, TDAH &amp; particularités cognitives...   
  La montre  Time Timer®  est une aide précieuse à la concentration et à l'autorégulation tout au long de la journée.  
  <em>Tous les avantages du Time Timer® au poignet.</em>  
   Taille du bracelet :  Adulte : 14–21 cm","gestion du comportement, le materiel, materiel, gestion du temps, timers",https://www.autismediffusion.com/products/time-timer-montre-adulte,,,
VB-MAPP Recharge protocoles (10),"<a href=""https://www.calameo.com/read/0000158568e84f0f8dd9e"" style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"" target=""_blank"">
    📖 Visualiser un extrait
   
 
 Le VB-MAPP offre aux thérapeutes des outils concrets pour évaluer les compétences de langage et d'apprentissage, ainsi que les compétences sociales des enfants présentant un TSA, un TED ou une déficience intellectuelle. Il s'appuie sur les analyses du langage de B. F. Skinner, les principes de l'analyse du comportement appliquée (ABA) et les jalons de développement.   Ce lot contient 10 protocoles.","les livres, evaluation,  , gestion du comportement les livres",https://www.autismediffusion.com/products/vb-mapp-recharge-protocoles-mark-sunberg,,,
VB-MAPP (5 livrets de passation + 1 manuel),"<span style=""font-size: 1.1em;"">📖 
    Feuilletez un extrait : 
  <a href=""https://www.calameo.com/read/000015856be0bb92730b7"" target=""_blank"" style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"">
    Cliquez ici pour consulter un aperçu du document
   
  
  Le VB-MAPP rassemble les procédures et la méthodologie d’enseignement de l’ABA avec l’analyse des comportements verbaux de Skinner, afin de fournir un programme d’évaluation du langage basé sur les comportements, pour tous les enfants atteints de retard de langage.       Le VB-MAPP évalue :   les compétences de l'enfant : capacités d'apprentissage et de langage, compétences sociales, perception visuelle et appariement, etc. ;   les obstacles aux apprentissages et à l’acquisition du langage et des compétences sociales ;   l'orientation, c'est-à-dire la capacité à progresser pour apprendre dans un environnement éducationnel moins restrictif.       Cet outil d’évaluation permet de prendre des décisions et d’établir des priorités correspondant aux besoins éducatifs spécifiques de l’enfant en fonction de ses limites et de ses forces. Sa structuration est également idéale pour suivre les progrès de l'enfant et effectuer les bilans d'étape.","les livres, evaluation,  , gestion du comportement les livres",https://www.autismediffusion.com/products/livre-vb-mapp-mark-sunberg,,,
Twiddle Squish n'Stretch,"Le Twiddle Squish n'Stretch est une aide à la focalisation, l'attention et la concentration. C'est un fidget résistant et très souple. Il peut être manipulé, enroulé, noué, malaxé...  En ergothérapie le Twiddle est un outil complet pour les enfants ayant un TSA (Trouble du Spectre de l'Autisme). Il permet à la personne de se concentrer en occupant ses mains tout en atténuant les comportements problèmes.  Les utilisations sont nombreuses avec ce fidget : exercices de motricité fine, anti-stress... Il est texturé pour plus de stimulations tactiles et d'entrées proprioceptives.","gestion du comportement, le materiel, produits sensoriels, proprioception, se stimuler se reguler, toucher",https://www.autismediffusion.com/products/twiddle-squish-n-stretch,,,
Trompette en bois,"Sifflet trompette en bois teinté. Expirer mais également inspirer émet un son, ce qui permet de travailler avec des exercices de souffle.  

 Simple à manipuler, cet instrument d’éveil sonore développe l’esprit de créativité, la communication et le souffle.  

 Cette trompette stimule la motricité et la coordination, encourage l’exploration sensorielle et favorise la coordination souffle/bouche.  

 Un instrument adapté aux professionnels de la musicothérapie, aux éducateurs spécialisés et aux parents souhaitant proposer une approche musicale inclusive.  

  Pour des raisons d'hygiène, cet article ne peut être retourné.   

 Pour écouter le son de la trompette en bois, cliquer sur l’onglet  « UTILISATION »   

 Sans vernis toxique et avec une peinture naturelle, de légères altérations de la couleur peuvent apparaître au fil du temps, garantissant un jouet sain et sécurisé.","jeux educatifs, jeux educatifs 7 sens, praxies et souffle, produits sensoriels, coordonner manipuler, ecouter, proprioception",https://www.autismediffusion.com/products/trompette-en-bois,,,
Sifflet Oiseau en bois,"Ce  sifflet oiseau en bois  est un petit instrument ludique qui favorise l’éveil sensoriel. Son chant imitant celui des oiseaux en fait un outil idéal pour la stimulation auditive, notamment chez les enfants autistes. Il émet un son à l’expiration comme à l’inspiration, permettant des exercices de souffle variés.
    
   
    Simple à manipuler, cet instrument d’éveil sonore développe la créativité, la communication et le souffle. Il stimule la motricité, encourage l’exploration sensorielle et favorise la coordination souffle/bouche.
    
   
    Un instrument adapté aux professionnels de la musicothérapie, aux éducateurs spécialisés et aux parents souhaitant proposer une approche musicale inclusive et ludique.
    
   
     Pour des raisons d’hygiène, cet article ne peut être retourné. 
    
   
    Pour écouter le son du sifflet en bois, cliquer sur l’onglet  UTILISATION .
    
   
    Fabriqué sans vernis toxique et avec une peinture naturelle. De légères altérations de la couleur peuvent apparaître au fil du temps, garantissant un jouet sain et sécurisé.","jeux educatifs, jeux educatifs 7 sens, praxies et souffle, produits sensoriels, coordonner manipuler, ecouter, proprioception",https://www.autismediffusion.com/products/sifflet-oiseau-en-bois,,,
L'hypersensibilité sensorielle racontée aux enfants,"<a href=""https://r.cantook.com/enqc/sample/aHR0cHM6Ly93d3cuZW50cmVwb3RudW1lcmlxdWUuY29tL3NhbXBsZS8xMjcxMzYvd2ViX3JlYWRlcl9tYW5pZmVzdD9mb3JtYXRfbmF0dXJlPWVwdWImc2lnaWQ9MTcyNjMxNjUzNiZzaWduYXR1cmU9ZTRiZmRmZGFmZDVmODU5NWYwM2NiOGY2MjE1OWJmOGExZDQ4YzEyZWY0YmQ3OTE5Zjc5Y2UzMjBjMjgxZmIxNg"" 
     target=""_blank"" 
     style=""color: #2388ee; font-weight: bold; font-size: 1.1em; text-decoration: none;"">
    📖 Visualiser un extrait
   
  

 
   
    Marilou a une superbe journée qui l’attend : c’est l’anniversaire de son amie Delphine et elle a très hâte&nbsp;!
    Pourtant, alors que tous ses amis participent aux différentes activités, cela représente un grand défi pour elle.
    Pourquoi&nbsp;? Parce qu’elle ressent certains bruits et certaines textures de manière plus intense que ses camarades.
    Heureusement, son ergothérapeute lui a donné plusieurs trucs pour l’aider à surmonter les difficultés qu’elle rencontre.
    

   
    Votre enfant a-t-il des réactions fortes aux actions toutes simples du quotidien&nbsp;? A-t-il tendance à fuir, à se fâcher
    ou à figer lorsqu’il est entouré de stimuli&nbsp;? Vous dit-il souvent que son cerveau va déborder ou exploser&nbsp;?
    Est-il grandement épuisé à la fin de ses journées&nbsp;? Il est possible qu’il présente des signes d’hypersensibilité sensorielle&nbsp;!
    

   
    Ce conte illustré vous aidera, vous et votre enfant, à comprendre le fonctionnement de son cerveau de façon simple et imagée.
    

   
    Faites le plein d’astuces et de stratégies afin qu’il puisse se sentir plus à l’aise à l’école et à la maison.
    Vous verrez, ce n’est pas si compliqué&nbsp;!","gestion du comportement, les livres, livres jeunesse, strategies educatives,  , gestion du comportement les livres",https://www.autismediffusion.com/products/livrelhypersensibilite-sensorielle-racontee-aux-enfants-virginie-clavel,,,
Slime fluo moelleux,"Le  slime fluo moelleux  est une pâte sensorielle douce, extensible, souvent utilisée comme outil apaisant pour les personnes autistes ou ayant des besoins sensoriels spécifiques.
    
   
    Ultra moelleux et léger, il a une consistance douce et nuageuse. Il peut être tiré, pressé et manipulé sans trop coller aux mains. Il est extensible et malléable.
    
   
    Les couleurs néons vives (rose fluo, vert éclatant, orange…) sont stimulantes et captent l’attention.
    
   
    La manipulation du slime peut procurer un effet calmant et réduire l’anxiété, tout en permettant d’explorer différentes sensations.
    
   
    C’est un outil sensoriel aux multiples propriétés : il favorise la régulation sensorielle par une stimulation tactile, aide à focaliser l’attention et à canaliser l’énergie, et permet de travailler la motricité fine par des exercices de coordination main-doigt.
    
   
    Le slime néon moelleux est un excellent outil sensoriel, ludique et apaisant pour les personnes autistes, favorisant l’exploration sensorielle tout en offrant une activité relaxante et captivante. C’est un jouet tactile qui offre une expérience sensorielle unique.
    
   
    <strong style=""color: #000;"">
      Cet article est particulièrement bénéfique pour ceux qui sont intrigués par différentes sensations tactiles et aiment explorer diverses textures.","produits sensoriels, se stimuler se reguler, toucher",https://www.autismediffusion.com/products/slime-fluo-moelleux,,,
